sin_identity,schedule_number,special_item_number,sin_group_title,sin_description1,sin_description2,sin_order,co_fname,co_lname,co_phone,co_email
351,23 V      ,023 101             , ,Trailers and Attachments,"Includes but not limited to: Closed Van Semitrailers, Refrigerated Semitrailers, Platform Semitrailers, Low-bed Semitrailers, Cargo Trailers, Utility Trailers",0,,,,
365,23 V      ,025 101             , ,Miscellaneous Vehicle Accessories ,"Includes but not limited to: Filters, Bed Liners, Automotive Lamps, Mirrors, Tarps, Cargo Covers, Tow Hooks, Trailer Towing Packages, Tool Boxes, Mud Flaps, Cargo Van Locks, Security Systems, Spot & Flood Lights, Beacon Warning Devices, PA Speakers, Automotive Light Fixtures, Bins, Cabinets, Ladder Racks, Liftgates, Winches",0,,,,
367,23 V      ,125 102             , ,Utility & Telecom Construction Equipment and Attachments ,"Includes but not limited to: Service and Line Body Trucks, Personnel Lifts, Digger Derricks, Cable Placers",0,,,,
369,23 V      ,125 104             , ,Vocational Bodies and Attachments,"Includes but not limited to: Stake Bodies, Dump Bodies, Utility Bodies, Cargo Bodies, Towing Bodies, Wrecker Bodies, Line and Service Bodies",0,,,,
500004846,MAS       ,4PL                 ,Miscellaneous - Complementary Special Item Numbers (SINs),Fourth-Party Logistics (4PL) Supplies and Services,"This SIN encompasses all commercially available Fourth-Party Logistics (4PL) delivery models required for a full solution that includes, at a minimum, providing the product, logistical support, transportation, inventory management, and all other services necessary to support 4PL operations. For the purposes of this SIN, 4PL operations are divided into two distinct categories, Vendor-Owned/Vendor-Managed Inventory Services (VMI) and Vendor-Owned/Vendor-Consigned Inventory Services (VCI). Specific services for these two categories include, but are not limited to:

Vendor-Owned/Vendor-Managed Inventory Services (VMI): Services such as resupply of designated items by the Vendor through regularly scheduled reviews of on-site inventory counts, removal of damaged or outdated goods, and the re-stocking of inventory to predetermined levels at their specified locations and customer support; and
Vendor-Owned/Vendor-Consigned Inventory Services (VCI): Services where products will be entrusted to GSA and are under the control and custody of GSA while they are stocked at 4PL locations.

The two 4PL models can be delivered in various 4PL models, which include but are not limited to Brick and Mortar Retail Storefronts; Tool Rooms and Issue Points; Virtual ServMarts; Satellite Locations; In-Store Referral Ordering; Direct Delivery; and Online Catalogs.",,,,,
376,23 V      ,271 101             , ,Construction Equipment and Attachments,"Includes but not limited to: Tractors 20hp and greater, Loaders, Excavators, Crawlers, Motor Graders, Scrapers, Ditchers/Trenchers",0,,,,
377,23 V      ,271 102             ,,Snow Maintenance Equipment (Vehicle Mounting),"limited to: Snowplows, salt/sand spreaders, and snow blowers (Total Small Business Set-Aside)",0,,,,
378,23 V      ,271 103             , ,Vehicular Cranes and Attachments,Includes but not limited to Wheeled and Tracked Cranes,0,,,,
379,23 V      ,271 104             , ,Snow Maintenance and Cleaning Equipment and Attachments ,"Includes but not limited to: Sweepers/Scrubbers, Self-contained Snowplows, Snowblowers, Runway De-icing Trucks, Slide-in Units, Snowplows, Salt/Sand spreaders, and Snow Blowers",0,,,,
380,23 V      ,271 105             , ,"Forestry, Mulching, Brush Cutting, and Land Clearing Equipment and Attachments ","Includes but not limited to: Woodchippers, Shredders, Stump Removers, Tub Grinders",0,,,,
381,23 V      ,271 106             , ,Street Repair Equipment and Attachments,"Includes but not limited to: Milling Machines, Road Wideners, and Asphalt Spreaders.",0,,,,
500004847,MAS       ,561110,Office Management - Office Services,Office Administrative Services,"Includes a range of turnkey day-to-day office administrative support services, such as clerical/secretarial functions, data entry, payroll administration, recordkeeping, travel preparation, scheduling, notetaking, meeting management, drafting memos/notes/letters,purchasing/requisitioning supplies, and logistics.",,,,,
383,23 V      ,271 108             , ,"Spare Components and Equipment for Sedans, Light, Buses, Medium and Heavy Duty Trucks ","Including Filters, Belts, Hoses, Pads, Pumps, Blades, Shocks, and Bulbs.",0,,,,
388,23 V      ,272 105             ,,New Technologies,(Note: this applies for any of the FSC listed for the entire schedule),0,,,,
389,23 V      ,272 106             , ,Remanufactured Automotive Components,"Includes but not limited to: Engines, Transmissions, Differentials & Rear Axle Assemblies, and Electrical Components",0,,,,
392,23 V      ,618 02              , ,Waste Disposal Vehicles and Attachments ,"Including but not limited to: Refuse Vehicles and/or Trailers; Recycling Vehicles and/or Trailers; Hazardous Waste Disposal Vehicles and/or Trailers; and Liquid Waste Vehicles and/or Trailers, Roll-off, Hoist, and Hook Lift Trucks.",0,,,,
395,23 V      ,096 1N              ,Tires,Passenger (New),New tires shall have 5-10% recycled content and fleet vehicles shall use retreads when practicable in compliance with E.O. 13149.,0,,,,
396,23 V      ,096 2N              ,Tires,Light Truck (New),New tires shall have 5-10% recycled content and fleet vehicles shall use retreads when practicable in compliance with E.O. 13149.,0,,,,
500004510,65 II A   ,A-60                , ,"Pacemakers and Ancillary Items, including accessories and replacement parts", ,,,,,
